Timestamp,User,FCP,LCP,Speed Index
20/04/2025 00:30,1,0.6,0.9,0.6
20/04/2025 00:48,4,0.6,0.8,0.6
20/04/2025 00:50,9,0.6,0.8,0.6
20/04/2025 00:52,16,0.6,0.9,0.6
20/04/2025 00:56,25,0.6,0.9,0.6
20/04/2025 01:01,36,0.6,0.9,0.6
20/04/2025 01:02,49,0.6,0.9,0.6
20/04/2025 01:04,64,0.6,0.9,0.6
20/04/2025 01:05,81,0.6,0.9,0.6
20/04/2025 01:06,100,0.6,0.9,0.6
20/04/2025 01:07,121,0.6,0.8,0.6
20/04/2025 01:09,144,0.6,0.9,0.6
20/04/2025 01:10,169,0.6,0.9,0.6
20/04/2025 01:12,196,0.6,0.9,0.6
20/04/2025 01:13,225,0.6,0.8,0.6
20/04/2025 01:23,256,0.6,0.9,0.6
20/04/2025 01:36,289,0.6,0.8,0.6
20/04/2025 01:37,324,0.6,0.9,0.6
20/04/2025 01:39,361,0.6,0.9,0.6
20/04/2025 01:41,400,0.6,0.9,0.6
20/04/2025 01:43,441,0.6,0.9,0.6
20/04/2025 01:45,484,0.6,0.9,0.6
20/04/2025 01:48,529,0.6,0.8,0.6
20/04/2025 01:52,576,0.6,0.8,0.6
20/04/2025 01:53,625,0.6,0.9,0.6
20/04/2025 01:55,676,0.6,0.8,0.6
20/04/2025 01:58,729,0.6,0.8,0.6
20/04/2025 02:02,784,0.6,0.8,0.6
20/04/2025 02:05,841,0.6,0.9,0.6
20/04/2025 02:08,900,0.6,0.9,0.6
20/04/2025 02:09,961,0.6,0.8,0.6
20/04/2025 02:13,1024,0.6,0.9,0.6
20/04/2025 02:14,1089,0.6,0.9,0.6
20/04/2025 02:15,1156,0.6,0.9,0.6
20/04/2025 02:19,1225,0.6,0.8,0.6
20/04/2025 02:22,1296,0.7,0.8,0.7
20/04/2025 02:25,1369,0.6,0.9,0.6
20/04/2025 02:36,1444,0.6,0.9,0.6
20/04/2025 02:38,1521,0.6,0.8,0.6
20/04/2025 02:40,1600,0.6,0.9,0.6
20/04/2025 02:41,1681,0.6,0.9,0.6
20/04/2025 02:50,1764,0.6,0.9,0.6
20/04/2025 02:51,1849,0.6,0.9,0.6
20/04/2025 02:54,1936,0.6,0.9,0.6
20/04/2025 02:55,2025,0.6,0.9,0.6
20/04/2025 02:56,2116,0.6,0.9,0.6
20/04/2025 02:58,2209,0.6,0.8,0.6
20/04/2025 02:59,2304,0.6,0.9,0.6
20/04/2025 03:01,2401,0.6,0.8,0.6
20/04/2025 03:02,2500,0.6,0.8,0.6
